time;id;text;sentiment
2020-03-08 23:57:40;1236803300898394113;@pizzahut Yeah, not a problem. Sent it yo ya;0
2020-03-08 23:57:36;1236803286767931405;RT @joshuaatkinson2: @pizzahut made an order at 8pm tonigh, waited over 3 hours for the pizza and still hasn’t turned up. Store me and my g…;0
2020-03-08 23:56:43;1236803063832330240;@pizzahut 3 hours for delivery and when I call the store to cancel it’s just a recording of the same message over a… https://t.co/JzE7vRdk12;0
2020-03-08 23:52:05;1236801896515612675;@pizzahut made an order at 8pm tonigh, waited over 3 hours for the pizza and still hasn’t turned up. Store me and m… https://t.co/rRkGKrOOpO;0
2020-03-08 23:51:49;1236801831336116238;Sat by the door of my business waiting for my @pizzahut delivery for 35 minutes. The driver did not even stop by be… https://t.co/GE9vVcZwQ1;0
2020-03-08 23:48:33;1236801007608303617;@pizzahut I ordered my pizza at 5:50pm and it was supposed to be here in 65 mins at the latest. Here it is 7:46 pm… https://t.co/mcw9VJM2Uk;1
2020-03-08 23:39:47;1236798802066993152;When you live in a tiny town but @pizzahut got you ❤️😭;1
2020-03-08 23:38:54;1236798580389806082;"If I have to pay a 3.99 ""delivery fee"" then your driver just lost his tip. 5 years ago there was no such thing as ""… https://t.co/q18D15e8em";0
2020-03-08 23:38:53;1236798574618243072;@pizzahut charges me a service fee just because I live in California. Great. 😒;1
2020-03-08 23:38:35;1236798500144218112;@leshawn05 Hi Karen, that's not the experience we want for you. Would you mind sending us a private message with yo… https://t.co/fnk7Vb5WrU;0
2020-03-08 23:37:34;1236798242676932615;Just had #pizzahut for dinner and I'm full.;1
2020-03-08 23:34:42;1236797522045292548;@ToddTPrice24 @kross700 @laura24fan @JLee418 @JudyJ31830202 @Chrisracefan1 @chevychevelle48 @DaleJr88FanNate… https://t.co/6hxOx2lyy8;0
2020-03-08 23:34:12;1236797398049075201;@pizzahut you need to fix your broke ass online ordering system. I ordered delivery for my grandma's and my house (… https://t.co/4pc8pmFDKQ;0
2020-03-08 23:27:53;1236795806557933568;@Hobby_Hannah We hate to see this, Hannah! Would you mind sharing your contact information and this store's address… https://t.co/6MBzgmDMGT;-1
2020-03-08 23:26:27;1236795445852229632;Thanks @pizzahut for the cold pizza that took me over an hour to get because you delivery driver did not want to dr… https://t.co/vp0KG3rMlR;-1
2020-03-08 23:25:52;1236795300771033088;RT @pizzahut: DON’T forget. https://t.co/RY8tNTrFWQ;0
2020-03-08 23:22:52;1236794546043916288;Boneless bites from @pizzahut  will forever be my weakness 🤤🤤🤤❤️❤️;0
2020-03-08 23:22:42;1236794500690792448;@BailoBeatz Hi, that's definitely not the quality we want for you. Would you mind sending us a private message with… https://t.co/pGmutySeDq;0
2020-03-08 23:21:02;1236794081247985664;@pizzahut how many retweets to bring pretzel crust back?;1
2020-03-08 23:20:05;1236793844198334464;@jeffcdawg That could use some help! Would you mind sending us a private message with this store's address and your… https://t.co/w0o67Hb3He;0
2020-03-08 23:16:46;1236793008089001984;RT @pizzahut: DON’T forget. https://t.co/RY8tNTrFWQ;0
2020-03-08 23:15:08;1236792596401250304;"@pizzahut 
still this error
Access Denied
You don't have permission to access ""https://t.co/6Be1Qopds7?"" on this se… https://t.co/Q2MH7wZu6x";0
2020-03-08 23:14:27;1236792424946642944;@kross700 @laura24fan @JLee418 @JudyJ31830202 @Chrisracefan1 @chevychevelle48 @DaleJr88FanNate @jonesbrent570… https://t.co/f7n0cq1Qup;0
