time;id;text;sentiment
2020-03-01 23:57:56;1234266651786387456;RT @afinelyne: Hey, New Yorker's, have you taken a close look? JR: Chronicles and JR: The Chronicles of New York on view at @brooklynmuseum…;1
2020-03-01 23:57:50;1234266627052638208;@WhattaDayJoe @Amer1Patriot @Oprah @AfterHoursTC @CorruptedPOD @RobGronkowski @Chrisgronkowski @IamMrMonday… https://t.co/YtP10AtwHx;0
2020-03-01 23:56:36;1234266317651398656;Fast food fans ‘never eating pizza again’ after seeing Domino’s calorie content https://t.co/n5OZwspBtG;1
2020-03-01 23:56:11;1234266214727397377;@TheMilesLuna Those 3 people who voted for domino's aren't from Chicago;0
2020-03-01 23:56:05;1234266189687382019;"“Get 50% OFF Pizza when you spend £30 ONLINE @ Domino's Pimlico Code: LOND5030 @dominos.co.uk Exp 19/04/20 T&amp;Cs app… https://t.co/RJIjeRch5A";0
2020-03-01 23:52:56;1234265394522640384;RT @nativehebe: Yes we’re so “lucky” that our combined annual income is less than the ~$30,000 that’s required for medi-cal! that’s the wor…;1
2020-03-01 23:52:01;1234265163680841728;Did somebody say Domino’s??? https://t.co/yZ6v6tE9JZ;0
2020-03-01 23:43:38;1234263053409144833;RT @SethAbramson: The most natural place for many Buttigieg voters to go is Warren. If you were with Buttigieg, you likely have the same co…;1
2020-03-01 23:41:29;1234262514713546752;RT @BoycottHegemony: Federal law enforcement sources tell Newsweek that last month's arrest of Charles Lieber, the Chair of Harvard Univers…;-1
2020-03-01 23:40:56;1234262373671849984;"RT @AdamGreen: Is there a Californian in your life who loves @ewarren &amp; is confused about who to vote for strategically? Remind them she's…";-1
2020-03-01 23:40:16;1234262207996813314;"RT @morganhousel: Amazon stock is up 16-fold in the last decade. 

Netflix, 15-fold. 

Domino's Pizza .... 27-fold.";0
2020-03-01 23:38:57;1234261878186094592;RT @MinnehahaCounty: Thanks ATF and Domino’s Pizza for offering up to $25,000 Reward for information on this homicide. Report tips to the A…;1
2020-03-01 23:37:05;1234261408088559616;yea work at domino’s and still know how to use proper english fool, sorry i gotta work to pay for my education thou… https://t.co/A7tfYhI8eU;-1
2020-03-01 23:36:28;1234261251603288070;"2020 marks the 50th anniversary of Duane Allman's legendary appearance with Derek &amp; the Domino's in Tampa's Curtis… https://t.co/ZscG6JwQCM";1
2020-03-01 23:35:51;1234261097638760449;RT @YourMomsucksTho: My baby shower gift of 5 bottles of tequila, Plan B, diapers, a Domino's gift card and earplugs didn't go over well bu…;0
2020-03-01 23:35:50;1234261090592337920;@MissSmallTown23 Steak wins - order domino's they deliver;1
2020-03-01 23:34:52;1234260847972823045;RT @brittanymcnair5: You’re calling your ex when you’re drunk and I’m calling domino’s, we are not the same honey;-1
2020-03-01 23:34:01;1234260634721832960;"RT @ChuckWendig: ""Warren doesn't have the path to the nomination"" is a thing people are saying even though, if you vote for her, she has a…";0
2020-03-01 23:33:11;1234260425304395777;"RT @JonErlichman: Some companies that have been affected by coronavirus:

Apple
Berkshire Hathaway
Carnival
Coca-Cola
Delta
Disney
Domino’s…";0
2020-03-01 23:33:00;1234260378256736256;"""I got my dream kitchen at the price of storage—here’s how I made it work"": https://t.co/w2DaGAkjL4 https://t.co/PBsab2ufvH";0
2020-03-01 23:32:42;1234260304592285697;RT @CNNPolitics: The Sanders campaign racked up a bill of more than $5,200 with Domino's Pizza. They also frequented Chipotle and the Hy-Ve…;1
2020-03-01 23:32:23;1234260224657240066;RT @YourMomsucksTho: My baby shower gift of 5 bottles of tequila, Plan B, diapers, a Domino's gift card and earplugs didn't go over well bu…;0
2020-03-01 23:30:50;1234259831965528069;It's a bit unfortunate but I could see this coming pete was not competitive in any of the states in super tuesday a… https://t.co/circeJcZu4;-1
2020-03-01 23:30:29;1234259746032582656;@Jordan_Fisher are you in a domino’s commercial? Could’ve sworn I saw I’m in one dancing in your underwear😂;0
2020-03-01 23:28:03;1234259133949497344;@NYounker Lol nectoos domino's cough cough cough;1
2020-03-01 23:27:28;1234258987765452800;Domino's wings go from a 4 to an 8.5 when you get them sent thru the oven 2 times... Not bbq though...bbq trash on anybody wings...;0
2020-03-01 23:27:06;1234258893812981760;RT @MarzGurl: The CORN AND SHRIMP pizza I ended up with one night from Japanese Domino's was a memory that will haunt my nightmares forever…;0
2020-03-01 23:22:20;1234257695189929986;RT @MarzGurl: The CORN AND SHRIMP pizza I ended up with one night from Japanese Domino's was a memory that will haunt my nightmares forever…;0
2020-03-01 23:22:10;1234257654295355392;RT @MarzGurl: The CORN AND SHRIMP pizza I ended up with one night from Japanese Domino's was a memory that will haunt my nightmares forever…;0
2020-03-01 23:21:12;1234257407544524802;Can we talk about how last night @putakahlo said something in @ADAMRAYOKAY ‘s voice and a domino effect of “say her… https://t.co/LKHkfeYKxS;0
2020-03-01 23:20:07;1234257135602733056;@DominosCanada Your delivery driver from the 3068 Mayfield rd Brampton ont location is driving around our neighbour… https://t.co/vVx75eLcP0;0
2020-03-01 23:18:50;1234256814226706432;He also just checked to see if Domino's will deliver to the house and they will so I think he is sold.;0
