2020-02-26 23:59:25	@pizzahut why don’t your stores answer their phones anymore? I was on hold for 20 minutes twice (back to back) and… https://t.co/Hlkcbi3SoK
2020-02-26 23:58:03	@Dougie_teaches Book It ftw! 😊
2020-02-26 23:57:01	My love of @pizzahut made me a great reader, but also a chunky kid. Still wouldn't trade it for my lifelong love of… https://t.co/aOL9FuTBOZ
2020-02-26 23:55:52	@prnicessalex @pizzahut Lmao they hit you with the specials on they page😂
2020-02-26 23:55:51	@RydawgFur @TaxBeast @pizzahut Its not anime, its Fairly odd parents, cuz im a godfather now lol.
2020-02-26 23:55:10	@pizzahut I mean, you once had a five cheese pizza. 🤷🏼‍♀️ I miss it.
2020-02-26 23:54:39	RT @ORLPride: When the Pride earn points this season, you'll earn half off @pizzahut large pizzas! https://t.co/Gjhfpl75UP
2020-02-26 23:54:37	"@14Persing @TaxBeast @pizzahut anime profile picture spotted
opinion invalidated"
2020-02-26 23:53:41	@teambendall This is definitely not the experience we wanted for you. Mind sending us a DM with your name, email ad… https://t.co/Fkt6U0Teor
2020-02-26 23:53:04	@CiciMiaBella Just give us all the cheese. 😉
2020-02-26 23:52:03	@TaxBeast @RydawgFur @pizzahut Their lunch buffet is actually pretty good lol
2020-02-26 23:50:36	"@pizzahut doesn't deliver to my house, 2.1 miles from their nearest location. 
Fine, whatever.
So I arrive, on time… https://t.co/jXBacFgIlj"
2020-02-26 23:50:33	I wish so bad this was in the states @pizzahut please get your act together https://t.co/p85w79Lb9d
2020-02-26 23:50:01	@pizzahut The ultimate cheese lover’s or the extra cheesy alfredo? 🤔
2020-02-26 23:49:56	#IWantALittleCaesarsBoxSeat #Contest LittleCaesars&gt;Domino’s&gt;PapaJohn’s&gt;PizzaHut&gt;💩&gt;Sarpinos.
2020-02-26 23:49:40	"RT @OrlandoCitySC: .@pizzahut is serving up 50% off large pizzas when City and @ORLPride win or draw this season.

Must be an online order…"
2020-02-26 23:48:22	@RydawgFur @pizzahut That's too bad
2020-02-26 23:47:51	@TaxBeast @pizzahut still exists
2020-02-26 23:42:42	At @pizzahut and filling my gullet https://t.co/r0XBX9fG6u
2020-02-26 23:35:48	@pizzahut not cool to charge 29 cents for EACH package of red peppers or parm cheese. #pizzahut #fixthis #losingbusiness
2020-02-26 23:31:14	@pizzahut This is great
2020-02-26 23:30:09	"RT @TheMrDoku: Hey @pizzahut !

Can we chat?! I have a lot of hungry Gamers over at Yami Esports (@YamiEsports ) 

We are some huge fans 🤘🏼😈"
2020-02-26 23:28:42	@ItsJellyUwU Maybe. 😏
2020-02-26 23:24:33	@pizzahut @ScarIetBorealis Pizza hut can we get married?
2020-02-26 23:19:34	That moment Pizza Hut responded to me bc I like they mozzarella crust doe https://t.co/KEuAg1b4sO
2020-02-26 23:19:32	@1WeebTrash Yes. It is.
2020-02-26 23:17:21	@pizzahut I'll be eternally indebted to you if you watch Ultraman https://t.co/TfiZSG2xUs
2020-02-26 23:17:19	@pizzahut @ScarIetBorealis Is it true that no one out pizzas the hut?
2020-02-26 23:17:07	@DargusYay @pizzahut lol I like Pizza Hut what can I say
2020-02-26 23:16:58	"RT @OrlandoCitySC: .@pizzahut is serving up 50% off large pizzas when City and @ORLPride win or draw this season.

Must be an online order…"
2020-02-26 23:13:36	RT @pizzahut: The grind never stops https://t.co/377hUIg9bI
2020-02-26 23:12:46	RT @pizzahut: How’s your future looking? https://t.co/b8d86lNxA2
2020-02-26 23:12:17	@SpAnKy_1 @ORLPride @pizzahut I don't know why they changed papa for this pizza.... god
2020-02-26 23:12:02	@pizzahut @OrlandoCitySC Is there a radius limit? Can we prove that we went to the game to get the special, let’s say, in gainesville??!?
2020-02-26 23:11:50	@DargusYay @pizzahut They really do make good pizza
2020-02-26 23:11:42	@ScarIetBorealis @pizzahut LMAO WTFFF HI PIZZA HUT I LIKE YOUR FOOD
2020-02-26 23:10:29	@starrlita8 @pizzahut @OrlandoCitySC @PapaJohns Thank you
2020-02-26 23:09:15	@PizzaHutCanada how many tweets do I have to send before I get a reply for my halal toppings? U guys believe in inc… https://t.co/q1SXSk0C6x
2020-02-26 23:08:49	@DargusYay @pizzahut They got that good mozzarella bites on the crust doe
2020-02-26 23:02:40	Sorry but @pizzahut is way better than @littlecaesars
2020-02-26 23:01:12	"Got myself a slice of pizza 😁🍕🍕🍕!!!
#pizza #artist #pizzahut #art #artistsontwitter #copicmarkers #illustration… https://t.co/NXzYLEEDpw"
2020-02-26 22:59:24	can we get the hershey’s bredsticks back!!? 😾😤 @pizzahut
2020-02-26 22:57:54	@rjohal59 Due to your location, would you mind reaching out to our friends @PizzaHutUK? Thanks for your understanding.
2020-02-26 22:54:51	@OrlandoCitySC @pizzahut @ORLPride Well that's a terrible decision.
2020-02-26 22:53:52	Probably the worst food design by @pizzahut using @Doritos such a terrible case on pizzas. Such a bad idea to add D… https://t.co/kmwQFiFSrE
2020-02-26 22:53:22	"RT @OrlandoHockey: Our latest @pizzahut Transactions Report includes the following roster moves:

F J.M. Piotrowski signed from @BullsBirmi…"
2020-02-26 22:52:35	"RT @Kevin_Torres_15: I did this for the memes, but I ended up loving it.

Kevv Dorian, a little bit horny for ""picsas"".
And Yvonne... she i…"
2020-02-26 22:48:21	@Lindsanity50 @pepsi @pizzahut Pepsi sucks. Always has. Always will.
2020-02-26 22:48:21	@pizzahut That’s why no one out pizzas the hut
2020-02-26 22:46:53	can’t say I didn’t try 😭 https://t.co/3RXtju1SFz
2020-02-26 22:43:22	@prnicessalex You can browse our current offers by visiting https://t.co/3WPXDuG7cY. 😉
2020-02-26 22:42:23	@AvsFan20 @pizzahut Did you accidentally add pineapple?
2020-02-26 22:42:21	@irismelissa75 @pepsi @pizzahut The crust is too bready. Spongy. Not here for it. Also, the sauce is too sweet. I’d… https://t.co/2S2Xj2TkNs
2020-02-26 22:42:13	@pizzahut ordered pizza today from your establishment , i specified hot sauce , but as you can see i did not get an… https://t.co/3r1UvHbsSb
2020-02-26 22:40:42	"RT @RyanBethencourt: Wow, this would be a tectonic shift in the food landscape!

""@pizzahut has revealed that it would like to replace all…"
2020-02-26 22:38:30	@pizzahut gone head and slide me a deal so I can get some tonight 😅🤣
2020-02-26 22:36:22	@yoboiferfer You're still lucky in our eyes. ❤️️
2020-02-26 22:35:03	RT @ORLPride: When the Pride earn points this season, you'll earn half off @pizzahut large pizzas! https://t.co/Gjhfpl75UP
2020-02-26 22:34:54	"A #HotTake:

@SUBWAY is just a shop selling yet another form of tacos and burritos.

@dominos/@pizzahut et al are j… https://t.co/fHFWIqtYzd"
2020-02-26 22:33:54	@campbellitstrue @ them! That is obscene. Outrageous. @pizzahut
2020-02-26 22:29:43	I thought I was lucky when @pizzahut replied to me but than I noticed that they reply to every one
2020-02-26 22:29:42	@OrlandoCitySC @pizzahut @ORLPride My girl @Ashlyn_Harris gonna come thru for me yet again this year!!
2020-02-26 22:29:17	@starrlita8 @Babylovemomma @pepsi @pizzahut They won’t. Prepare for Hurricane Lindsey.
2020-02-26 22:29:05	@MichelCombes @sprint Restaurant offers (like to @panera and to @pizzahut); @fandango now movie rentals, and credit… https://t.co/NM0PcqjJsJ
2020-02-26 22:28:36	@pizzahut @OrlandoCitySC Bring 50% of the entire order like @PapaJohns did not just a large damn pizza!
2020-02-26 22:27:09	@Lindsanity50 @Babylovemomma @pepsi @pizzahut Good luck, hope they have it even at one stand. 🤷🏼‍♀️
2020-02-26 22:26:00	@Babylovemomma @starrlita8 @pepsi @pizzahut I stand by my earlier statement that the only way I don’t riot is if th… https://t.co/gbmZsWCeP3
2020-02-26 22:25:40	"RT @OrlandoCitySC: .@pizzahut is serving up 50% off large pizzas when City and @ORLPride win or draw this season.

Must be an online order…"
2020-02-26 22:25:22	@tia_marie96 Thanks for bringing this to our attention. Please reach out to the Hut Rewards Hotline at 1-844-244-25… https://t.co/A2E3qqCYWw
2020-02-26 22:24:56	@starrlita8 @Lindsanity50 @pepsi @pizzahut I prefer Pepsi too but I’m wayyyy more stoked for Mt. Dew! https://t.co/OeV0ecvHzM
2020-02-26 22:23:05	@Lindsanity50 @pepsi @pizzahut 🙋🏼‍♀️ i prefer @pepsi 🤷🏼‍♀️😍
2020-02-26 22:20:51	@pizzahut what happened to all my points. I thought I had till the end of February. https://t.co/cqajjlJaRx
2020-02-26 22:19:43	@MoTheGod Not pizzahut's, it overpowers everything else
2020-02-26 22:19:25	@pizzahut Oh how right you are :D
2020-02-26 22:18:49	RT @PlantBasedNews: The chain has ambitious plans to become #carbonneutral by 2030. 👏🌎🍕#vegan #ClimateCrisis @pizzahut https://t.co/g2Hs6oS…
2020-02-26 22:15:48	"RT @TheMrDoku: Hey @pizzahut !

Can we chat?! I have a lot of hungry Gamers over at Yami Esports (@YamiEsports ) 

We are some huge fans 🤘🏼😈"
2020-02-26 22:13:11	@pizzahut Tsockwell33@gmail.com
2020-02-26 22:11:27	@Lindsanity50 @pepsi @pizzahut I hate pepsi I prefer coke. But I also love Pizza Hut.
2020-02-26 22:11:06	"RT @OrlandoHockey: Our latest @pizzahut Transactions Report includes the following roster moves:

F J.M. Piotrowski signed from @BullsBirmi…"
2020-02-26 22:10:53	#OCTwitter I know it’s fun to jump on the bandwagon of trashing the new sponsors but does ANYONE actually prefer… https://t.co/qSCqHtz4IW
2020-02-26 22:10:28	@pizzahut wiiiiiiiiiiiiiiiiiiiiiiiiings
2020-02-26 22:10:10	@pizzahut wiiiiiiiings
2020-02-26 22:10:03	@pizzahut wiiiiiiiiiiiiiiiiiings
2020-02-26 22:09:49	@pizzahut wiiiiiiiiiiiiiiiiiiings
2020-02-26 22:09:44	"RT @OrlandoHockey: Our latest @pizzahut Transactions Report includes the following roster moves:

F J.M. Piotrowski signed from @BullsBirmi…"
2020-02-26 22:09:41	@pizzahut wiiings
2020-02-26 22:09:38	"Our latest @pizzahut Transactions Report includes the following roster moves:

F J.M. Piotrowski signed from… https://t.co/xVZeHaIbDJ"
2020-02-26 22:09:35	@pizzahut wiiiiiiiiiiiiings
2020-02-26 22:09:28	@pizzahut wiiiiiings
2020-02-26 22:09:02	I ordered a pepperoni pizza from Pizzahut without sauce, and it has sauce... Thankfully it had a stuffed crust
2020-02-26 22:06:12	"RT @OrlandoCitySC: .@pizzahut is serving up 50% off large pizzas when City and @ORLPride win or draw this season.

Must be an online order…"
